;POS_terminals_per_1000ppl;Cards_per_capita
gru.03;2,189853922;0,395884813
mar.04;2,28875644;0,405278361
cze.04;2,420464215;0,416344118
wrz.04;2,51538284;0,427653076
gru.04;2,733682585;0,442814369
mar.05;2,823452242;0,476460932
cze.05;2,963993531;0,49363919
wrz.05;3,172487124;0,510611968
gru.05;3,372205072;0,533619716
mar.06;3,263800102;0,554773318
cze.06;3,319910302;0,574050277
wrz.06;3,497701801;0,593149812
gru.06;3,708331264;0,624997107
mar.07;3,79349988;0,63854264
cze.07;3,74974961;0,653615709
wrz.07;4,194203042;0,67960733
gru.07;4,496835305;0,694972488
mar.08;4,698176268;0,71579969
cze.08;4,799761862;0,739713888
wrz.08;4,938340142;0,765183406
gru.08;5,183095307;0,794305414
mar.09;5,300546918;0,814982118
cze.09;5,358261601;0,832429836
wrz.09;5,477178497;0,851844783
gru.09;5,651082985;0,870903188
mar.10;5,859368476;0,862727376
cze.10;6,20068938;0,847038344
wrz.10;6,290898249;0,844087962
gru.10;6,483203569;0,841172532
mar.11;6,46159846;0,839556912
cze.11;6,66355461;0,864000122
wrz.11;6,815461786;0,833547173
gru.11;6,999736593;0,841898521
mar.12;7,199072546;0,84151156
cze.12;7,4725608;0,858388492
wrz.12;7,685335187;0,871349444
gru.12;7,606887932;0,874613622
mar.13;7,834790825;0,883922182
cze.13;8,192071285;0,903827819
wrz.13;8,158573779;0,916831236
gru.13;8,57378522;0,910571248
mar.14;8,767353951;0,913910821
cze.14;9,400135557;0,925149567
wrz.14;9,961582263;0,934016032
gru.14;10,47328918;0,948733721
mar.15;10,71044399;0,935512422
cze.15;11,18892593;0,904025626
wrz.15;11,6374123;0,91415663
gru.15;12,24705908;0,926416897
mar.16;12,58917926;0,929792759
cze.16;13,09703855;0,941609798
wrz.16;13,51721692;0,955809946
gru.16;14,12366129;0,971219375
mar.17;14,83618714;0,993782023
cze.17;15,40264279;0,999062965
wrz.17;15,93030768;1,014228597
gru.17;16,66856978;1,02957146
mar.18;17,25737687;1,040615181
cze.18;18,57731824;1,059829574
wrz.18;19,54614946;1,06434516
gru.18;20,71915857;1,085858806
mar.19;21,66966197;1,098921723
cze.19;22,49651672;1,110654512
wrz.19;22,86312112;1,112316965
gru.19;23,87402861;1,13212253
mar.20;24,98908139;1,135155075
cze.20;25,67549546;1,140954148
wrz.20;26,15934428;1,14017421
gru.20;27,06903063;1,150615739
